@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@195de175 data'

@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute imageSizeBytes numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
528752640,32763609,32768,65536,627390603,20955519476,20757466729,205,2278708,0,3458905,mysql
528752640,29897349,32768,65536,627390603,20955519476,20757466729,205,2278708,0,3458915,mysql
528752640,29897349,32768,65536,627390603,20955654765,20757609779,205,2278708,0,3458925,mysql
529920000,34873798,32768,65536,627390603,20955654765,20757609779,205,2278708,0,3458935,mysql
528752640,28876647,32768,65536,627390603,20955761090,20757723474,205,2278708,0,3458945,mysql
528752640,29234836,32768,65536,627390603,20955761090,20757723474,205,2278708,0,3458954,mysql
528752640,29234836,32768,65536,627390603,20955892720,20757862127,205,2278708,0,3458965,mysql
528740352,29289537,32768,65536,627390603,20955950012,20757922139,205,2278708,0,3458975,mysql
528740352,29289537,32768,65536,627390603,20955950012,20757922139,205,2278708,0,3458985,mysql
528740352,50938480,32768,65536,627390603,20956051321,20758028791,205,2278708,0,3458995,mysql
528740352,50938480,32768,65536,627390603,20956110393,20758069459,205,2278741,0,3459004,mysql
528752640,674706830,32768,65536,627390603,20956110393,20758069459,205,2278779,0,3459015,mysql
528769024,741704583,32768,65536,627390603,20956164328,20758108366,205,2278850,0,3459025,mysql
528769024,741704583,32768,65536,627390603,20956164328,20758108366,205,2278876,0,3459035,mysql
528814080,756866382,32768,65536,627390603,20956211806,20758140476,205,2278954,0,3459045,mysql
528814080,820603384,32768,65536,627390603,20956211806,20758140476,205,2278959,0,3459055,mysql
528818176,746553194,32768,65536,627390603,20956263117,20758176428,205,2278959,0,3459064,mysql
528818176,746553194,32768,65536,627390603,20956263117,20758176428,205,2278991,0,3459075,mysql
528818176,513391932,32768,65536,627390603,20956342754,20758228573,205,2279017,0,3459085,mysql
528814080,812755641,32768,65536,627390603,20956378644,20758253612,205,2279036,0,3459095,mysql
528830464,789229496,32768,65536,627390603,20956410497,20758274073,205,2279088,0,3459105,mysql
528830464,789229496,32768,65536,627390603,20956410497,20758274073,205,2279088,0,3459115,mysql
528830464,738769159,32768,65536,627390603,20956455723,20758309377,205,2279088,0,3459125,mysql
528830464,738769159,32768,65536,627390603,20956496503,20758338419,205,2279088,0,3459135,mysql
528867328,720534314,32768,65536,627390603,20956496503,20758338419,205,2279122,0,3459145,mysql
528879616,768594744,32768,65536,627390603,20956557324,20758383510,205,2279245,0,3459155,mysql
528879616,768594744,32768,65536,627390603,20956557324,20758383510,205,2279275,0,3459165,mysql
528879616,732141742,32768,65536,627390603,20956605656,20758419774,205,2279292,0,3459175,mysql
528908288,766001981,32768,65536,627390603,20956648764,20758451505,205,2279315,0,3459185,mysql
528908288,751223448,32768,65536,627390603,20956679305,20758473427,205,2279315,0,3459195,mysql
528908288,751223448,32768,65536,627390603,20956679305,20758473427,205,2279357,0,3459205,mysql
528908288,808347243,32768,65536,627390603,20956718469,20758500110,205,2279357,0,3459215,mysql
528908288,808347243,32768,65536,627390603,20956718469,20758500110,205,2279379,0,3459224,mysql
