@relation container_metrics

@attribute runningTimeSeconds numeric
@attribute imageSizeBytes numeric
@attribute cpuUsageNanocores numeric
@attribute memoryUsageBytes numeric
@attribute label {mysql, nginx, mongodb, postgresql, apache}

@data
177624,132966258,0,1720320,nginx
177654,89301127,0,1859584,nginx
605804,446995706,0,12427264,mysql
177654,448500822,0,18571264,mysql
603524,89300486,0,2134016,nginx
2829824,132966258,0,1265664,nginx
603624,109369748,0,2543616,nginx
603534,109369748,0,2437120,nginx
605804,448102503,0,11132928,mysql
177644,132899597,0,2801664,nginx
603524,132966258,0,1884160,nginx
603124,132899597,0,2899968,nginx
177634,109369748,0,2539520,nginx
605824,627390603,0,2564096,mysql
604874,448500822,0,9244672,mysql
177634,627950443,0,2441216,mysql
177654,448102503,0,6569984,mysql
2829824,132966258,0,1265664,nginx
2503984,627390603,0,2609152,mysql
171554,176316251,0,1925120,apache
171494,411772438,0,1757184,mongodb
171574,89301127,0,2183168,nginx
172174,260864226,0,1818624,postgresql
171544,448102503,0,3665920,mysql
171534,448500822,0,1912832,mysql
171534,132899597,0,3596288,nginx
171524,109369748,0,3461120,nginx
172084,387197322,0,3477504,mongodb
171514,132966258,0,1646592,nginx
171564,453770462,0,3756032,mongodb
