@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@3eef7da3 data'

@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute imageSizeBytes numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
521101312,808079606,32768,65536,627390603,19227343990,19026690750,180,2083266,0,3124115,mysql
521097216,816840611,32768,65536,627390603,19227387290,19026719698,180,2083266,0,3124125,mysql
521097216,803997694,32768,65536,627390603,19227448090,19026759949,180,2083266,0,3124135,mysql
521097216,803997694,32768,65536,627390603,19227448090,19026759949,180,2083284,0,3124145,mysql
521109504,699939475,32768,65536,627390603,19227476005,19026780847,180,2083312,0,3124155,mysql
521109504,699939475,32768,65536,627390603,19227504758,19026802880,180,2083355,0,3124165,mysql
521121792,787895003,32768,65536,627390603,19227504758,19026802880,180,2083423,0,3124175,mysql
521125888,790825061,32768,65536,627390603,19227549980,19026834915,180,2083502,0,3124185,mysql
521125888,790825061,32768,65536,627390603,19227588922,19026859035,180,2083525,0,3124195,mysql
521117696,809320927,32768,65536,627390603,19227588922,19026859035,180,2083525,0,3124205,mysql
521125888,811070495,32768,65536,627390603,19227637110,19026891592,180,2083525,0,3124215,mysql
521125888,811070495,32768,65536,627390603,19227665055,19026912413,180,2083525,0,3124225,mysql
521125888,802488216,32768,65536,627390603,19227665055,19026912413,180,2083525,0,3124235,mysql
521125888,802488216,32768,65536,627390603,19227700106,19026938416,180,2083565,0,3124245,mysql
521129984,790939869,32768,65536,627390603,19227700106,19026938416,180,2083605,0,3124255,mysql
521146368,630907372,32768,65536,627390603,19227745901,19026970521,180,2083657,0,3124265,mysql
521150464,9731828,32768,65536,627390603,19227745943,19026970563,180,2083680,0,3124275,mysql
521154560,8000430,32768,65536,627390603,19227745943,19026970563,180,2083680,0,3124285,mysql
521154560,8000430,32768,65536,627390603,19227745943,19026970563,180,2083680,0,3124295,mysql
521154560,23587045,32768,65536,627390603,19227842394,19027127467,180,2083680,0,3124305,mysql
521150464,31770509,32768,65536,627390603,19227949725,19027242871,180,2083680,0,3124315,mysql
521150464,31770509,32768,65536,627390603,19227949725,19027242871,180,2083680,0,3124325,mysql
521162752,29168116,32768,65536,627390603,19228061302,19027362855,180,2083680,0,3124335,mysql
521175040,36223660,32768,65536,627390603,19228157231,19027466205,180,2083680,0,3124345,mysql
521175040,26611113,32768,65536,627390603,19228157231,19027466205,180,2083680,0,3124355,mysql
521175040,26611113,32768,65536,627390603,19228281986,19027598532,180,2083680,0,3124365,mysql
521162752,31287042,32768,65536,627390603,19228281986,19027598532,180,2083680,0,3124375,mysql
521162752,31287042,32768,65536,627390603,19228408050,19027733598,180,2083680,0,3124385,mysql
521170944,27720802,32768,65536,627390603,19228408050,19027733598,180,2083680,0,3124395,mysql
521154560,29840306,32768,65536,627390603,19228526711,19027860908,180,2083680,0,3124405,mysql
521183232,29886063,32768,65536,627390603,19228629911,19027971533,180,2083680,0,3124415,mysql
521183232,29886063,32768,65536,627390603,19228629911,19027971533,180,2083680,0,3124425,mysql
521199616,27773123,32768,65536,627390603,19228743386,19028092444,180,2083680,0,3124435,mysql
521138176,29814024,32768,65536,627390603,19228860907,19028215836,180,2083680,0,3124445,mysql
521138176,29814024,32768,65536,627390603,19228860907,19028215836,180,2083680,0,3124455,mysql
521121792,29612256,32768,65536,627390603,19228980667,19028341527,180,2083680,0,3124465,mysql
