@relation 'de.lukonjun.metricscollector.ml.J48AnomalyDetector@62e9b061 data'

@attribute memoryUsageBytes numeric
@attribute cpuUsageNanocores numeric
@attribute logsfsUsedBytes numeric
@attribute rootfsUsedBytes numeric
@attribute imageSizeBytes numeric
@attribute rx_bytes numeric
@attribute tx_bytes numeric
@attribute ioServiceRecursiveRead numeric
@attribute ioServiceRecursiveWrite numeric
@attribute usedBytesVolume numeric
@attribute runningTimeSeconds numeric
@attribute class {mysql,nginx,mongodb,postgresql,apache}

@data
579440640,29742657,32768,65536,627390603,29091296283,28966566162,246,246,0,5086075,mysql
579444736,30034202,32768,65536,627390603,29091401886,28966681270,246,246,0,5086085,mysql
579452928,30313323,32768,65536,627390603,29091401886,28966681270,246,246,0,5086095,mysql
579452928,30313323,32768,65536,627390603,29091535543,28966822041,246,246,0,5086105,mysql
579452928,30327736,32768,65536,627390603,29091535543,28966822041,246,246,0,5086114,mysql
579452928,30327736,32768,65536,627390603,29091662935,28966958474,246,246,0,5086125,mysql
579452928,30227162,32768,65536,627390603,29091776308,28967081520,246,246,0,5086135,mysql
579440640,28277013,32768,65536,627390603,29091776308,28967081520,246,246,0,5086145,mysql
579440640,30892718,32768,65536,627390603,29091868773,28967179245,246,246,0,5086155,mysql
579440640,30892718,32768,65536,627390603,29091978676,28967295126,246,246,0,5086165,mysql
579440640,29223857,32768,65536,627390603,29091978676,28967295126,246,246,0,5086175,mysql
579440640,32903332,32768,65536,627390603,29092111196,28967437065,246,246,0,5086185,mysql
579440640,32903332,32768,65536,627390603,29092111196,28967437065,246,246,0,5086195,mysql
579444736,29038915,32768,65536,627390603,29092202161,28967534035,246,246,0,5086205,mysql
579444736,34909106,32768,65536,627390603,29092288565,28967624535,246,246,0,5086215,mysql
579444736,29713964,32768,65536,627390603,29092404937,28967746294,246,246,0,5086225,mysql
579444736,29713964,32768,65536,627390603,29092404937,28967746294,246,246,0,5086235,mysql
580059136,30365930,32768,65536,627390603,29092482272,28967827197,246,246,0,5086245,mysql
580059136,30365930,32768,65536,627390603,29092585782,28967937474,246,246,0,5086255,mysql
579448832,27357923,32768,65536,627390603,29092585782,28967937474,246,246,0,5086265,mysql
579448832,27357923,32768,65536,627390603,29092686947,28968045442,246,246,0,5086275,mysql
579452928,31793687,32768,65536,627390603,29092795304,28968161462,246,246,0,5086285,mysql
579452928,34537849,32768,65536,627390603,29092892909,28968264554,246,246,0,5086295,mysql
579444736,30549351,32768,65536,627390603,29092892909,28968264554,246,246,0,5086305,mysql
579444736,28930266,32768,65536,627390603,29092991337,28968367943,246,246,0,5086315,mysql
579444736,27984326,32768,65536,627390603,29093087916,28968471396,246,246,0,5086325,mysql
579444736,27984326,32768,65536,627390603,29093087916,28968471396,246,246,0,5086335,mysql
579461120,26917958,32768,65536,627390603,29093197617,28968586730,246,246,0,5086345,mysql
579461120,26917958,32768,65536,627390603,29093197617,28968586730,246,246,0,5086355,mysql
579452928,28932641,32768,65536,627390603,29093324700,28968720950,246,246,0,5086365,mysql
579452928,29605981,32768,65536,627390603,29093324700,28968720950,246,246,0,5086375,mysql
579473408,31344792,32768,65536,627390603,29093444399,28968850268,246,246,0,5086385,mysql
579473408,31344792,32768,65536,627390603,29093542156,28968955093,246,246,0,5086395,mysql
579477504,32851057,32768,65536,627390603,29093626252,28969043824,246,246,0,5086405,mysql
579477504,25608090,32768,65536,627390603,29093626252,28969043824,246,246,0,5086415,mysql
579477504,25608090,32768,65536,627390603,29093720762,28969142430,246,246,0,5086425,mysql
579481600,28659918,32768,65536,627390603,29093720762,28969142430,246,246,0,5086435,mysql
579481600,28659918,32768,65536,627390603,29093830986,28969258116,246,246,0,5086445,mysql
579481600,32872986,32768,65536,627390603,29093908003,28969339798,246,246,0,5086455,mysql
579481600,28528654,32768,65536,627390603,29093985468,28969420950,246,246,0,5086465,mysql
579481600,28528654,32768,65536,627390603,29094064948,28969505301,246,246,0,5086475,mysql
579477504,30099162,32768,65536,627390603,29094064948,28969505301,246,246,0,5086485,mysql
579477504,30099162,32768,65536,627390603,29094168591,28969614532,246,246,0,5086495,mysql
579489792,28877808,32768,65536,627390603,29094274974,28969727247,246,246,0,5086505,mysql
579481600,29988878,32768,65536,627390603,29094357294,28969813587,246,246,0,5086515,mysql
579481600,29988878,32768,65536,627390603,29094357294,28969813587,246,246,0,5086525,mysql
579485696,30478365,32768,65536,627390603,29094462810,28969926069,246,246,0,5086535,mysql
579485696,30478365,32768,65536,627390603,29094555103,28970024251,246,246,0,5086545,mysql
579485696,28990366,32768,65536,627390603,29094626743,28970100363,246,246,0,5086555,mysql
579485696,31706446,32768,65536,627390603,29094716051,28970195205,246,246,0,5086565,mysql
579481600,31483004,32768,65536,627390603,29094716051,28970195205,246,246,0,5086574,mysql
579481600,31483004,32768,65536,627390603,29094821076,28970304985,246,246,0,5086585,mysql
579481600,31621182,32768,65536,627390603,29094821076,28970304985,246,246,0,5086595,mysql
579481600,31621182,32768,65536,627390603,29094958218,28970449903,246,246,0,5086605,mysql
579477504,31030522,32768,65536,627390603,29095050201,28970546173,246,246,0,5086615,mysql
579477504,27479738,32768,65536,627390603,29095143881,28970644749,246,246,0,5086625,mysql
579477504,27479738,32768,65536,627390603,29095143881,28970644749,246,246,0,5086635,mysql
579477504,29306254,32768,65536,627390603,29095216275,28970720718,246,246,0,5086645,mysql
579477504,29306254,32768,65536,627390603,29095349561,28970860780,246,246,0,5086655,mysql
579477504,31881824,32768,65536,627390603,29095349561,28970860780,246,246,0,5086665,mysql
